ID,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
71,04-20-2020,Mar Vista,34.0037605,-118.4391641,0.4178295526027303,1
72,04-20-2020,Maywood,33.9866807,-118.185349,1.0165061509853688,2
73,04-20-2020,Melrose,34.0536909,-118.2427666,0.6490672412424872,1
74,04-20-2020,Miracle Mile,34.008544,-118.133415,0.0,0
75,04-20-2020,Monrovia,34.1483499,-118.0014517,0.01899012418554046,0
76,04-20-2020,Montebello,34.0159398,-118.111975,0.5157890178077922,1
77,04-20-2020,Monterey Park,34.051522,-118.129807,0.3623643664459091,1
78,04-20-2020,Mt. Washington,34.0988396,-118.2211069,-1.0,-1
79,04-20-2020,North Hills,34.2429575,-118.4854081,1.3610118596769138,2
80,04-20-2020,North Hollywood,34.1729044,-118.3740371,0.616215218455723,1
81,04-20-2020,Northridge,34.2345615,-118.5369316,1.3186313987226603,2
82,04-20-2020,Norwalk,33.909280200000005,-118.0849169,0.7018356611832485,1
83,04-20-2020,Pacoima,34.262502500000004,-118.427027,2.173202222740933,3
84,04-20-2020,Palmdale,34.5793131,-118.1171108,0.008946012158485749,0
85,04-20-2020,Palms,34.024732799999995,-118.4116152,1.1232915185070729,2
86,04-20-2020,Panorama City,34.2242902,-118.4453745,2.07892065574509,3
87,04-20-2020,Paramount,33.898917,-118.171005,0.8008715083649057,1
88,04-20-2020,Park La Brea,34.067401600000004,-118.3552363,-1.0,-1
89,04-20-2020,Pico Rivera,33.9830688,-118.096735,0.9261444002769142,1
90,04-20-2020,Playa Vista,33.9759574,-118.4181815,0.2373233087648702,1
91,04-20-2020,Pomona,34.05538129999999,-117.7517496,0.0,0
92,04-20-2020,Porter Ranch,34.2818164,-118.5612714,0.17214129556261706,1
93,04-20-2020,Rancho Palos Verdes,33.7483311,-118.3707683,0.4162178444559268,1
94,04-20-2020,Redondo Beach,33.8455911,-118.38867659999998,0.26280342151237823,1
95,04-20-2020,Reseda,34.200078399999995,-118.5369884,0.9056705893999252,1
96,04-20-2020,Rosemead,34.0676169,-118.0879763,-1.0,-1
97,04-20-2020,Rowland Heights,33.9761238,-117.9053395,-1.0,-1
98,04-20-2020,San Dimas,34.1066756,-117.8067257,0.187280919978825,1
99,04-20-2020,San Fernando,34.28497,-118.437652,0.3688389921122509,1
100,04-20-2020,San Gabriel,34.0991325,-118.1086041,0.2658365467071817,1
101,04-20-2020,San Pedro,33.7358518,-118.2922934,2.257033950812958,3
102,04-20-2020,Santa Clarita,34.3916641,-118.542586,0.5488885315031031,1
103,04-20-2020,Santa Monica,34.0194704,-118.4912273,0.35950944109122296,1
104,04-20-2020,Sherman Oaks,34.1508718,-118.4489865,0.4288222333653916,1
105,04-20-2020,Silverlake,34.092941,-118.2697155,0.10753693137130424,1
106,04-20-2020,South El Monte,34.0519548,-118.04673390000002,0.022300845089914718,0
107,04-20-2020,South Gate,33.9463456,-118.200981,0.9207776142113058,1
108,04-20-2020,South Park,33.9959381,-118.2697608,1.5267718882124222,2
109,04-20-2020,South Pasadena,34.113306200000004,-118.1478291,-1.0,-1
110,04-20-2020,South Whittier,33.9435081,-118.0347827,0.5323969150478783,1
111,04-20-2020,Stevenson Ranch,34.3864721,-118.5826635,0.1401842299637146,1
112,04-20-2020,Studio City,34.148398900000004,-118.3961877,0.4454105851296593,1
113,04-20-2020,Sun Valley,34.2175042,-118.3703576,0.8805483887490754,1
114,04-20-2020,Sunland,34.266946600000004,-118.3023,1.346876376528544,2
