ID,Time Stamp,Region,Latitude,Longitude,Density
0,04-17-2020,Acton,34.4807415,-118.1868379,0.0001735568745878024
1,04-17-2020,Agoura Hills,34.147909999999996,-118.76570420000002,0.0007451817227246552
2,04-17-2020,Alhambra,34.093042,-118.12706000000001,0.0004613290891057136
3,04-17-2020,Altadena,34.1863161,-118.13523290000002,0.0007672299257096876
4,04-17-2020,Arcadia,34.136207500000005,-118.0401497,0.00047374238941624413
5,04-17-2020,Arleta,34.2413266,-118.4322047,0.0011392441115319985
6,04-17-2020,Avalon,33.342209999999994,-118.3272612,0.0
7,04-17-2020,Azusa,34.1338751,-117.90560459999999,0.00033573946617424877
8,04-17-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.0012669200506768019
9,04-17-2020,Baldwin Park,34.0854739,-117.96117609999999,0.0004879142325900334
10,04-17-2020,Bassett,34.049732299999995,-117.99673229999999,0.00022790002785444784
11,04-17-2020,Bell,33.9747806,-118.1866361,0.0020494043064815826
12,04-17-2020,Bell Gardens,33.9694561,-118.1503953,0.0006830803955926465
13,04-17-2020,Bellflower,33.8825705,-118.1167679,0.0008019984222981856
14,04-17-2020,Beverly Hills,34.0696501,-118.3963062,0.00225095232598407
15,04-17-2020,Beverlywood,34.0466335,-118.39503799999999,0.0008240773916159082
16,04-17-2020,Boyle Heights,34.0436892,-118.20976840000002,0.0007450112897864682
17,04-17-2020,Brentwood,34.0521403,-118.4740699,0.0011177275442755003
18,04-17-2020,Burbank,34.181648200000005,-118.3258554,0.0011557712146104766
19,04-17-2020,Calabasas,34.144664299999995,-118.6440973,0.0009980423016390926
20,04-17-2020,Canoga Park,34.2010776,-118.5978259,0.001554306528087418
21,04-17-2020,Canyon Country,34.42332929999999,-118.4720281,0.0005826374053214216
22,04-17-2020,Carson,33.832204299999994,-118.2517547,0.0012093636886438212
23,04-17-2020,Castaic,34.488882200000006,-118.6228656,0.0003177405119152692
24,04-17-2020,Central,34.0536909,-118.2427666,0.0014063978315902526
25,04-17-2020,Century City,34.057426299999996,-118.4147267,0.000926057842997578
26,04-17-2020,Cerritos,33.8644291,-118.05393229999999,0.0005250997689561017
27,04-17-2020,Chatsworth,34.2595715,-118.6023247,0.0011654041455090318
28,04-17-2020,Claremont,34.0966764,-117.71977849999999,0.0003799185888738128
29,04-17-2020,Cloverdale/Cochran,34.062323,-118.34615500000001,0.00045189098998887645
30,04-17-2020,Compton,33.894927,-118.226624,0.000701849330706331
31,04-17-2020,Covina,34.1024,-117.85486499999999,0.0014247623699904337
32,04-17-2020,Crestview,34.0621851,-118.4250119,0.00175247293402913
33,04-17-2020,Culver City,34.021122399999996,-118.3964665,0.0006383997446401023
34,04-17-2020,Del Rey,33.9896527,-118.4243437,0.0012304327021669286
35,04-17-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.0003851068671556357
36,04-17-2020,Downey,33.942215000000004,-118.1235646,0.0010368066355624676
37,04-17-2020,Downtown,34.0428494,-118.24767320000001,0.001018626309662398
38,04-17-2020,Duarte,34.1394513,-117.97728729999999,0.0005037275841225067
39,04-17-2020,Eagle Rock,34.1366877,-118.20767959999999,0.0013273771537970645
40,04-17-2020,East Hollywood,34.0904277,-118.2966254,0.001946962067807989
41,04-17-2020,East Los Angeles,34.0239015,-118.17201570000002,0.0009528684490294127
42,04-17-2020,Echo Park,34.0779819,-118.2567824,0.00032562683165092806
43,04-17-2020,El Monte,34.0751571,-118.036849,0.0004132776434381183
44,04-17-2020,El Segundo,33.917028,-118.4156337,0.00044669446098868367
45,04-17-2020,El Sereno,34.0811213,-118.17784950000001,0.0010215411947590495
46,04-17-2020,Encino,34.1591324,-118.50161659999999,0.001387158206569017
47,04-17-2020,Exposition Park,34.013653999999995,-118.2872106,0.001394113741978314
48,04-17-2020,Gardena,33.8963593,-118.3053037,0.0015326554491669276
49,04-17-2020,Glassell Park,34.1161201,-118.22896270000001,0.0021347777600764697
50,04-17-2020,Glendale,34.146941600000005,-118.24784709999999,0.0015376602762828305
51,04-17-2020,Glendora,34.136118700000004,-117.86533899999999,0.000548307808659482
52,04-17-2020,Granada Hills,34.26615579999999,-118.5174342,0.0010004312203536008
53,04-17-2020,Hacienda Heights,33.993067700000005,-117.96867549999999,0.0006040194750521653
54,04-17-2020,Hancock Park,34.0677881,-118.33257649999999,0.0016337302460020734
55,04-17-2020,Harbor City,33.79110120000001,-118.3012604,0.0007996673383872309
56,04-17-2020,Harbor Gateway,33.8542249,-118.29921979999999,0.0008009153318077803
57,04-17-2020,Harvard Heights,34.047110499999995,-118.3054828,0.0009270589980346348
58,04-17-2020,Harvard Park,33.9839471,-118.30462279999999,0.0009332593452050648
59,04-17-2020,Hawthorne,33.9188589,-118.34832560000001,0.0007804826715307983
60,04-17-2020,Highland Park,34.1099469,-118.1969828,0.0009134695233349939
61,04-17-2020,Hollywood,34.0980031,-118.32952320000001,0.0019401330376940132
62,04-17-2020,Hollywood Hills,34.1311792,-118.33554740000001,0.0016623376623376624
63,04-17-2020,Huntington Park,33.982704299999995,-118.21203429999998,0.0008738320898030518
64,04-17-2020,Hyde Park,33.9805691,-118.3306308,0.0008253851797505503
65,04-17-2020,Inglewood,33.9562003,-118.353132,0.0012461434010261347
66,04-17-2020,Koreatown,34.05801339999999,-118.3008095,0.001178640001520826
67,04-17-2020,La Canada Flintridge,34.1998302,-118.2005236,0.0006459145902168782
68,04-17-2020,La Mirada,33.906097100000004,-118.0107092,0.0004761730339548002
69,04-17-2020,La Puente,34.01979,-117.95036770000002,0.0005200851949081184
70,04-17-2020,La Verne,34.10084260000001,-117.7678355,0.00031298013998748084
71,04-17-2020,Lake Balboa,34.1811656,-118.495236,0.0010561436355344326
72,04-17-2020,Lake Los Angeles,34.6127395,-117.84039550000001,0.0003081664098613251
73,04-17-2020,Lakewood,33.8503463,-118.11719140000001,0.0004328148963596504
74,04-17-2020,Lancaster,34.6981064,-118.13661529999999,0.0006015853543455696
75,04-17-2020,Lawndale,33.8885217,-118.3531991,0.0007813979920439477
76,04-17-2020,Leimert Park,34.008441,-118.3314469,0.0009181439367186948
77,04-17-2020,Lincoln Heights,34.081248200000005,-118.2034419,0.0007261285247488807
78,04-17-2020,Lomita,33.8036545,-118.3195014,0.000524234944627684
