ID,Time Stamp,Region,Latitude,Longitude,Number of cases
0,03-24-2020,Deaths,33.973951,-118.248405,11
1,03-24-2020,Agoura Hills,34.14791,-118.76570420000002,3
2,03-24-2020,Alhambra,34.093042,-118.12706,5
3,03-24-2020,Altadena,34.1863161,-118.13523290000002,5
4,03-24-2020,Arcadia,34.136207500000005,-118.0401497,4
5,03-24-2020,Athens,33.920407,-118.2790494,1
6,03-24-2020,Baldwin Hills,34.01098870000001,-118.3370709,3
7,03-24-2020,Bellflower,33.8825705,-118.1167679,3
8,03-24-2020,Beverly Hills,34.0696501,-118.3963062,12
9,03-24-2020,Beverlywood,34.0466335,-118.395038,7
10,03-24-2020,Boyle Heights,34.033165600000004,-118.2048648,5
11,03-24-2020,Brentwood,34.0521403,-118.4740699,31
12,03-24-2020,Burbank,34.181648200000005,-118.3258554,2
13,03-24-2020,Calabasas,34.144664299999995,-118.6440973,4
14,03-24-2020,Canoga Park,34.2010776,-118.5978259,2
15,03-24-2020,Canyon Country,34.42332929999999,-118.4720281,1
16,03-24-2020,Carson,33.832204299999994,-118.2517547,8
17,03-24-2020,Castaic,34.488882200000006,-118.6228656,2
18,03-24-2020,Century City,34.0574263,-118.4147267,6
19,03-24-2020,Century Palms/Cove,34.056290999999995,-118.4146197,1
20,03-24-2020,Claremont,34.0966764,-117.7197785,1
21,03-24-2020,Covina,34.0821496,-117.87212379999998,3
22,03-24-2020,Crestview,34.0621851,-118.4250119,7
23,03-24-2020,Culver City,34.0211224,-118.3964665,7
24,03-24-2020,Del Rey,33.9896527,-118.4243437,3
25,03-24-2020,Diamond Bar,34.02862260000001,-117.8103367,2
26,03-24-2020,Downey,33.942215000000004,-118.1235646,1
27,03-24-2020,Duarte,34.1394513,-117.9772873,1
28,03-24-2020,Eagle Rock,34.1388968,-118.2139624,2
29,03-24-2020,East Hollywood,34.0904277,-118.2966254,1
30,03-24-2020,East Los Angeles,34.0239015,-118.17201570000002,3
31,03-24-2020,Echo Park,34.0779819,-118.2567824,2
32,03-24-2020,El Segundo,33.917028,-118.4156337,2
33,03-24-2020,Encino,34.1591324,-118.5016166,12
34,03-24-2020,Exposition Park,34.013653999999995,-118.2872106,1
35,03-24-2020,Florence,33.9752173,-118.2659106,1
36,03-24-2020,Gardena,33.8963593,-118.3053037,1
37,03-24-2020,Glendale,34.146941600000005,-118.2478471,10
38,03-24-2020,Glendora,34.136118700000004,-117.865339,1
39,03-24-2020,Granada Hills,34.26615579999999,-118.5174342,5
40,03-24-2020,Hancock Park,34.0677881,-118.3325765,7
41,03-24-2020,Harbor Gateway,33.8542249,-118.2992198,1
