Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
03-16-2020,Alhambra,34.093042,-118.12706000000001,0.09473925285587927,0
03-16-2020,Arcadia,34.136207500000005,-118.0401497,0.0,0
03-16-2020,Beverly Hills,34.0696501,-118.3963062,0.0,0
03-16-2020,Boyle Heights,34.0436892,-118.20976840000002,0.040935775448761993,0
03-16-2020,Carson,33.832204299999994,-118.2517547,0.12685931965034347,1
03-16-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.025007345907000312,0
03-16-2020,Encino,34.1591324,-118.50161659999999,0.41988790607303933,1
03-16-2020,Gardena,33.8963593,-118.3053037,0.011771637299284798,0
03-16-2020,Glendale,34.146941600000005,-118.24784709999999,0.058460646149851817,0
03-16-2020,Glendora,34.136118700000004,-117.86533899999999,0.0,0
03-16-2020,Granada Hills,34.26615579999999,-118.5174342,0.06160537444000844,0
03-16-2020,Inglewood,33.9562003,-118.353132,0.11049679666510992,1
03-16-2020,La Mirada,33.906097100000004,-118.0107092,0.03924603140527434,0
03-16-2020,Lancaster,34.6981064,-118.13661529999999,0.06108651851840527,0
03-16-2020,Manhattan Beach,33.8915985,-118.39512409999999,0.3123879387262372,1
03-16-2020,Melrose,34.0536909,-118.2427666,0.6579234911335455,1
03-16-2020,Northridge,34.2345615,-118.53693159999999,0.08960918272680789,0
03-16-2020,San Dimas,34.1066756,-117.8067257,0.020806739718634407,0
03-16-2020,San Pedro,33.7358518,-118.2922934,0.017900984285305448,0
03-16-2020,Santa Monica,34.019470399999996,-118.4912273,0.32118391434903143,1
03-16-2020,Sherman Oaks,34.1508718,-118.4489865,0.19336082975569444,1
03-16-2020,Silverlake,34.092940999999996,-118.2697155,0.1902065146100382,1
03-16-2020,Tarzana,34.171443599999996,-118.54297890000001,0.3663211423909038,1
03-16-2020,Torrance,33.83584920000001,-118.34062879999999,0.05599982079940488,0
03-16-2020,Venice,33.995044,-118.4668875,0.3034371049774891,1
03-16-2020,West Adams,34.0294356,-118.35248329999999,0.40641371644850866,1
03-16-2020,West Hills,34.2032325,-118.645476,0.0,0
03-16-2020,West Hollywood,34.0923014,-118.36928940000001,1.6566122087984403,2
03-16-2020,West Vernon,34.007135,-118.22525,0.19604519187061278,1
03-16-2020,Westchester,33.9597349,-118.40063219999999,0.042185044694441454,0
03-17-2020,Alhambra,34.093042,-118.12706000000001,0.10297800018234139,1
03-17-2020,Altadena,34.1863161,-118.13523290000002,0.06683477839621471,0
03-17-2020,Arcadia,34.136207500000005,-118.0401497,0.0,0
03-17-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.07144617778804507,0
03-17-2020,Beverly Hills,34.0696501,-118.3963062,0.0,0
03-17-2020,Boyle Heights,34.0436892,-118.20976840000002,0.040935775448761993,0
03-17-2020,Brentwood,34.0521403,-118.4740699,0.41306439699549263,1
03-17-2020,Carson,33.832204299999994,-118.2517547,0.09363499507062485,0
03-17-2020,Culver City,34.021122399999996,-118.3964665,0.07600372415833892,0
03-17-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.025007345907000312,0
03-17-2020,Eagle Rock,34.1366877,-118.20767959999999,0.036467269711082925,0
03-17-2020,Encino,34.1591324,-118.50161659999999,0.32751971763497034,1
03-17-2020,Gardena,33.8963593,-118.3053037,0.011771637299284798,0
03-17-2020,Glendale,34.146941600000005,-118.24784709999999,0.08857694058178732,0
03-17-2020,Granada Hills,34.26615579999999,-118.5174342,0.2464214977600338,1
03-17-2020,Hollywood,34.0980031,-118.32952320000001,0.53899905545691,1
03-17-2020,Hollywood Hills,34.1311792,-118.33554740000001,0.1979227997853999,1
03-17-2020,Inglewood,33.9562003,-118.353132,0.030693799574651,0
03-17-2020,La Mirada,33.906097100000004,-118.0107092,0.13736110991846018,1
03-17-2020,Lynwood,33.924831,-118.2024154,0.0,0
03-17-2020,Manhattan Beach,33.8915985,-118.39512409999999,0.7289175241127102,1
03-17-2020,Mar Vista,34.0037605,-118.43916409999999,0.10231312927341984,1
03-17-2020,Melrose,34.0536909,-118.2427666,0.7223658240251708,1
03-17-2020,Monterey Park,34.051522,-118.129807,0.12271021281211662,1
03-17-2020,North Hollywood,34.1729044,-118.37403710000001,0.08259037391662084,0
03-17-2020,Northridge,34.2345615,-118.53693159999999,0.021084658064313463,0
03-17-2020,Reseda,34.200078399999995,-118.53698840000001,0.10843062230785941,1
03-17-2020,San Dimas,34.1066756,-117.8067257,0.020806739718634407,0
03-17-2020,San Pedro,33.7358518,-118.2922934,0.15215836642509634,1
03-17-2020,Santa Clarita,34.3916641,-118.54258600000001,0.09606183907348516,0
03-17-2020,Santa Monica,34.019470399999996,-118.4912273,0.2370690312478057,1
03-17-2020,Sherman Oaks,34.1508718,-118.4489865,0.21017711196708252,1
03-17-2020,Silverlake,34.092940999999996,-118.2697155,0.20674843421634173,1
03-17-2020,Tarzana,34.171443599999996,-118.54297890000001,0.2127058662530897,1
03-17-2020,Torrance,33.83584920000001,-118.34062879999999,0.1704347766749726,1
03-17-2020,Venice,33.995044,-118.4668875,0.3243682139262506,1
03-17-2020,West Adams,34.0294356,-118.35248329999999,0.2667178086629055,1
03-17-2020,West Hills,34.2032325,-118.645476,0.0,0
03-17-2020,West Hollywood,34.0923014,-118.36928940000001,0.6187988982863739,1
03-17-2020,West Vernon,34.007135,-118.22525,0.13262079446376399,1
03-17-2020,Westchester,33.9597349,-118.40063219999999,0.25311026816664867,1
03-17-2020,Woodland Hills,34.1684364,-118.6058382,0.3375574122832205,1
