,Time Stamp,Region,Latitude,Longitude,R
0,03-16-2020,Alhambra,34.093042,-118.12706000000001,4.750015652288529
1,03-16-2020,Arcadia,34.136207500000005,-118.0401497,0.0
2,03-16-2020,Beverly Hills,34.0696501,-118.3963062,0.0
3,03-16-2020,Boyle Heights,34.0436892,-118.20976840000002,1.0000081870042767
4,03-16-2020,Carson,33.832204299999994,-118.2517547,16.000019330511886
5,03-16-2020,Diamond Bar,34.02862260000001,-117.81033670000001,1.000005001412899
6,03-16-2020,Encino,34.1591324,-118.50161659999999,1.0000033587478587
7,03-16-2020,Gardena,33.8963593,-118.3053037,1.0000023543149885
8,03-16-2020,Glendale,34.146941600000005,-118.24784709999999,1.0000028344048564
9,03-16-2020,Glendora,34.136118700000004,-117.86533899999999,0.0
10,03-16-2020,Granada Hills,34.26615579999999,-118.5174342,1.000009856562376
11,03-16-2020,Inglewood,33.9562003,-118.353132,1.0000024554610065
12,03-16-2020,La Mirada,33.906097100000004,-118.0107092,1.0000078490676616
13,03-16-2020,Lancaster,34.6981064,-118.13661529999999,0.0
14,03-16-2020,Manhattan Beach,33.8915985,-118.39512409999999,2.500032538356214
15,03-16-2020,Melrose,34.0536909,-118.2427666,1.000020241909217
16,03-16-2020,Northridge,34.2345615,-118.53693159999999,1.0000021084413557
17,03-16-2020,San Dimas,34.1066756,-117.8067257,1.0000041613089814
18,03-16-2020,San Pedro,33.7358518,-118.2922934,1.0000017900808043
19,03-16-2020,Santa Monica,34.019470399999996,-118.4912273,8.500025999131323
20,03-16-2020,Sherman Oaks,34.1508718,-118.4489865,2.500021016739412
21,03-16-2020,Silverlake,34.092940999999996,-118.2697155,0.0
22,03-16-2020,Tarzana,34.171443599999996,-118.54297890000001,2.5000590781911676
23,03-16-2020,Torrance,33.83584920000001,-118.34062879999999,1.0000019477989872
24,03-16-2020,Venice,33.995044,-118.4668875,1.0000167400438589
25,03-16-2020,West Adams,34.0294356,-118.35248329999999,1.0000050801133882
26,03-16-2020,West Hills,34.2032325,-118.645476,0.0
27,03-16-2020,West Hollywood,34.0923014,-118.36928940000001,2.8751376838778167
28,03-16-2020,West Vernon,34.007135,-118.22525,1.000002306384765
29,03-16-2020,Westchester,33.9597349,-118.40063219999999,1.0000084368487807
30,03-17-2020,Alhambra,34.093042,-118.12706000000001,1.0000049428361004
31,03-17-2020,Altadena,34.1863161,-118.13523290000002,4.750025396248306
32,03-17-2020,Arcadia,34.136207500000005,-118.0401497,0.0
33,03-17-2020,Baldwin Hills,34.01098870000001,-118.3370709,8.500040484480154
34,03-17-2020,Beverly Hills,34.0696501,-118.3963062,0.0
35,03-17-2020,Boyle Heights,34.0436892,-118.20976840000002,1.0000081870042767
36,03-17-2020,Brentwood,34.0521403,-118.4740699,1.9375853474881684
37,03-17-2020,Carson,33.832204299999994,-118.2517547,1.0000036244797361
38,03-17-2020,Culver City,34.021122399999996,-118.3964665,1.0000101334319653
39,03-17-2020,Diamond Bar,34.02862260000001,-117.81033670000001,1.000005001412899
40,03-17-2020,Eagle Rock,34.1366877,-118.20767959999999,1.0000036466538307
41,03-17-2020,Encino,34.1591324,-118.50161659999999,1.0000033587478587
42,03-17-2020,Gardena,33.8963593,-118.3053037,1.0000023543149885
43,03-17-2020,Glendale,34.146941600000005,-118.24784709999999,2.875008148913962
44,03-17-2020,Granada Hills,34.26615579999999,-118.5174342,1.000009856562376
45,03-17-2020,Hollywood,34.0980031,-118.32952320000001,6.357240745180937
46,03-17-2020,Hollywood Hills,34.1311792,-118.33554740000001,1.000009894964947
47,03-17-2020,Inglewood,33.9562003,-118.353132,1.0000024554610065
48,03-17-2020,La Mirada,33.906097100000004,-118.0107092,1.0000078490676616
49,03-17-2020,Lynwood,33.924831,-118.2024154,0.0
50,03-17-2020,Manhattan Beach,33.8915985,-118.39512409999999,2.2500351415161868
51,03-17-2020,Mar Vista,34.0037605,-118.43916409999999,3.500035807580294
52,03-17-2020,Melrose,34.0536909,-118.2427666,1.681852225029137
53,03-17-2020,Monterey Park,34.051522,-118.129807,4.750022204302961
54,03-17-2020,North Hollywood,34.1729044,-118.37403710000001,1.000004719327439
55,03-17-2020,Northridge,34.2345615,-118.53693159999999,1.0000021084413557
56,03-17-2020,Reseda,34.200078399999995,-118.53698840000001,1.0000037714216752
57,03-17-2020,San Dimas,34.1066756,-117.8067257,1.0000041613089814
58,03-17-2020,San Pedro,33.7358518,-118.2922934,1.0000017900808043
59,03-17-2020,Santa Clarita,34.3916641,-118.54258600000001,1.0000026050350117
60,03-17-2020,Santa Monica,34.019470399999996,-118.4912273,2.875017587701455
61,03-17-2020,Sherman Oaks,34.1508718,-118.4489865,2.250022698116729
62,03-17-2020,Silverlake,34.092940999999996,-118.2697155,0.0
63,03-17-2020,Tarzana,34.171443599999996,-118.54297890000001,2.2500638047480184
64,03-17-2020,Torrance,33.83584920000001,-118.34062879999999,1.0000019477989872
65,03-17-2020,Venice,33.995044,-118.4668875,4.75007951520833
66,03-17-2020,West Adams,34.0294356,-118.35248329999999,1.0000050801133882
67,03-17-2020,West Hills,34.2032325,-118.645476,0.0
68,03-17-2020,West Hollywood,34.0923014,-118.36928940000001,2.5001496581807148
69,03-17-2020,West Vernon,34.007135,-118.22525,8.5000196042705
70,03-17-2020,Westchester,33.9597349,-118.40063219999999,1.0000084368487807
71,03-17-2020,Woodland Hills,34.1684364,-118.6058382,2.875025453909609
72,03-18-2020,Alhambra,34.093042,-118.12706000000001,1.0000049428361004
73,03-18-2020,Arcadia,34.136207500000005,-118.0401497,0.0
