Time Stamp,Region,Latitude,Longitude,Number of cases
03-20-2020,North Hollywood,34.1729044,-118.37403710000001,5
03-20-2020,Northridge,34.2345615,-118.53693159999999,1
03-20-2020,Pacific Palisades,34.0480643,-118.5264706,6
03-20-2020,Palms,34.024732799999995,-118.4116152,1
03-20-2020,Park La Brea,34.067401600000004,-118.35523629999999,4
03-20-2020,Playa Vista,33.9759574,-118.41818149999999,1
03-20-2020,Redondo Beach,33.8455911,-118.38867659999998,1
03-20-2020,Reseda,34.200078399999995,-118.53698840000001,2
03-20-2020,San Dimas,34.1066756,-117.8067257,1
03-20-2020,San Fernando,34.28497,-118.437652,1
03-20-2020,San Pedro,33.7358518,-118.2922934,1
03-20-2020,Santa Clarita,34.3916641,-118.54258600000001,4
03-20-2020,Santa Monica,34.019470399999996,-118.4912273,4
03-20-2020,Santa Monica Mountains,34.031132,-118.26150700000001,2
03-20-2020,Sherman Oaks,34.1508718,-118.4489865,6
03-20-2020,South El Monte,34.0519548,-118.04673390000002,1
03-20-2020,South Pasadena,34.113306200000004,-118.1478291,2
03-20-2020,South Whittier,33.9435081,-118.03478270000001,1
03-20-2020,Stevenson Ranch,34.3864721,-118.5826635,1
03-20-2020,Studio City,34.148398900000004,-118.39618770000001,3
03-20-2020,Sylmar,34.307625200000004,-118.44921480000001,1
03-20-2020,Tarzana,34.171443599999996,-118.54297890000001,6
03-20-2020,Torrance,33.835849200000006,-118.34062879999999,2
03-20-2020,Tujunga,34.252225,-118.2884105,1
03-20-2020,University Park,34.027449,-118.2839493,1
03-20-2020,Valley Glen,34.182637899999996,-118.41386659999999,3
03-20-2020,Van Nuys,34.1866193,-118.4486669,1
03-20-2020,Venice,33.995044,-118.4668875,4
03-20-2020,Vermont Knolls,33.9668188,-118.29167,1
03-20-2020,Walnut,34.020289399999996,-117.86533859999999,2
03-20-2020,West Adams,34.0294356,-118.35248329999999,1
03-20-2020,West Hills,34.2032325,-118.645476,3
03-20-2020,West Hollywood,34.0923014,-118.36928940000001,15
03-20-2020,West Los Angeles,34.0463986,-118.44813500000001,3
03-20-2020,West Vernon,34.007135,-118.22525,1
