Time Stamp,Region,Latitude,Longitude,Density
03-16-2020,Arcadia,34.136207500000005,-118.0401497,1.8885384600857397e-05
03-16-2020,Beverly Hills,34.0696501,-118.3963062,2.9560436312039966e-05
03-16-2020,Boyle Heights,34.033165600000004,-118.2048648,5.3904868687739876e-05
03-16-2020,Carson,33.832204299999994,-118.2517547,1.1167070542384617e-05
03-16-2020,Diamond Bar,34.02862260000001,-117.8103367,3.522118906734291e-05
03-16-2020,Encino,34.1591324,-118.5016166,7.159050232669132e-05
03-16-2020,Gardena,33.8963593,-118.3053037,1.72956518731191e-05
03-16-2020,Glendale,34.146941600000005,-118.2478471,1.0253938794239338e-05
03-16-2020,Glendora,34.136118700000004,-117.865339,1.992944974789246e-05
03-16-2020,Granada Hills,34.26615579999999,-118.5174342,5.936479667557139e-05
03-16-2020,Inglewood,33.9562003,-118.353132,1.7780622677406164e-05
03-16-2020,Koreatown,34.05801339999999,-118.3008095,8.690362388111584e-06
03-16-2020,La Mirada,33.906097100000004,-118.0107092,4.275148561412509e-05
03-16-2020,Lancaster,34.6981064,-118.1366153,8.279310830166496e-06
03-16-2020,Manhattan Beach,33.8915985,-118.3951241,8.813419900702136e-05
03-16-2020,Melrose,34.0536909,-118.2427666,2.5761908442177396e-05
03-16-2020,Northridge,34.2345615,-118.5369316,1.7372873994544918e-05
03-16-2020,San Dimas,34.1066756,-117.8067257,2.8519279032626055e-05
03-16-2020,San Pedro,33.7358518,-118.2922934,1.2489851995253857e-05
03-16-2020,Santa Monica,34.0194704,-118.4912273,1.1892869035726179e-05
03-16-2020,Sherman Oaks,34.1508718,-118.4489865,3.2697904064349474e-05
03-16-2020,Silverlake,34.08276970000001,-118.273646,2.315457997591924e-05
03-16-2020,South Pasadena,34.113306200000004,-118.1478291,4.114718347529112e-05
03-16-2020,Tarzana,34.1714436,-118.5429789,0.0001408371359360036
03-16-2020,Torrance,33.83584920000001,-118.3406288,1.4499793377944363e-05
03-16-2020,Venice,33.995044,-118.4668875,2.652168147460549e-05
03-16-2020,West Adams,34.0294356,-118.3524833,4.594743613306377e-05
03-16-2020,West Hills,34.2032325,-118.645476,7.72916988715412e-05
03-16-2020,West Hollywood,34.0923014,-118.3692894,0.00013999328032254451
03-16-2020,West Vernon,34.007135,-118.22525,1.614465611882467e-05
03-16-2020,Westchester,33.9597349,-118.4006322,2.4096385542168674e-05
03-17-2020,Altadena,34.1863161,-118.13523290000002,2.3430178069353328e-05
03-17-2020,Arcadia,34.136207500000005,-118.0401497,1.8885384600857397e-05
03-17-2020,Baldwin Hills,34.01098870000001,-118.3370709,3.3340001333600056e-05
03-17-2020,Beverly Hills,34.0696501,-118.3963062,2.9560436312039966e-05
03-17-2020,Boyle Heights,34.033165600000004,-118.2048648,5.3904868687739876e-05
03-17-2020,Brentwood,34.0521403,-118.4740699,3.1904032669729455e-05
03-17-2020,Carson,33.832204299999994,-118.2517547,1.1167070542384617e-05
03-17-2020,Culver City,34.0211224,-118.3964665,5.152514427040396e-05
03-17-2020,Diamond Bar,34.02862260000001,-117.8103367,3.522118906734291e-05
03-17-2020,Eagle Rock,34.1388968,-118.2139624,3.077585941587419e-05
03-17-2020,Encino,34.1591324,-118.5016166,0.00011931750387781887
03-17-2020,Gardena,33.8963593,-118.3053037,1.72956518731191e-05
03-17-2020,Glendale,34.146941600000005,-118.2478471,1.5380908191359006e-05
03-17-2020,Granada Hills,34.26615579999999,-118.5174342,5.936479667557139e-05
03-17-2020,Hollywood,34.0980031,-118.3295232,1.285049731424606e-05
03-17-2020,Hollywood Hills,34.1311792,-118.3355474,9.264406151565684e-05
03-17-2020,Inglewood,33.9562003,-118.353132,8.890311338703082e-06
03-17-2020,Koreatown,34.05801339999999,-118.3008095,8.690362388111584e-06
03-17-2020,La Mirada,33.906097100000004,-118.0107092,6.412722842118764e-05
03-17-2020,Lynwood,33.924831,-118.2024154,1.430635631411036e-05
03-17-2020,Manhattan Beach,33.8915985,-118.3951241,0.00011751226534269515
03-17-2020,Mar Vista,34.0037605,-118.4391641,2.817536346218866e-05
03-17-2020,Melrose,34.0536909,-118.2427666,0.00011592858798979828
03-17-2020,Monterey Park,34.051522,-118.129807,1.668529858341815e-05
03-17-2020,North Hollywood,34.1729044,-118.3740371,1.28455451649368e-05
03-17-2020,Northridge,34.2345615,-118.5369316,1.7372873994544918e-05
03-17-2020,Reseda,34.200078399999995,-118.5369884,1.6083893588960014e-05
03-17-2020,San Dimas,34.1066756,-117.8067257,2.8519279032626055e-05
03-17-2020,San Pedro,33.7358518,-118.2922934,1.2489851995253857e-05
03-17-2020,Santa Clarita,34.3916641,-118.542586,1.2702687253488476e-05
03-17-2020,Santa Monica,34.0194704,-118.4912273,1.1892869035726179e-05
03-17-2020,Sherman Oaks,34.1508718,-118.4489865,3.2697904064349474e-05
03-17-2020,Silverlake,34.08276970000001,-118.273646,2.315457997591924e-05
03-17-2020,South Pasadena,34.113306200000004,-118.1478291,4.114718347529112e-05
03-17-2020,Tarzana,34.1714436,-118.5429789,0.0001408371359360036
03-17-2020,Torrance,33.83584920000001,-118.3406288,7.249896688972182e-06
03-17-2020,Venice,33.995044,-118.4668875,5.304336294921098e-05
03-17-2020,West Adams,34.0294356,-118.3524833,4.594743613306377e-05
03-17-2020,West Hills,34.2032325,-118.645476,7.72916988715412e-05
03-17-2020,West Hollywood,34.0923014,-118.3692894,0.00022398924851607123
03-17-2020,West Vernon,34.007135,-118.22525,1.614465611882467e-05
03-17-2020,Westchester,33.9597349,-118.4006322,4.819277108433735e-05
