Region,Latitude,Longitude,Population
Bouquet Canyon,34.5770311,-118.3859379,25575.0
Gardena,33.8963593,-118.3053037,60679.0
Glassell Park,34.1161201,-118.22896270000001,30097.0
El Monte,34.0751571,-118.036849,113725.0
Beverlywood,34.045933399999996,-118.39492,12807.0
Vernon Central,34.007135,-118.22525,50782.0
Monterey Park,34.051522,-118.129807,61121.0
Santa Monica Mountains,34.031132,-118.26150700000001,8929.0
Unincorporated Santa Monica Mountains, 34.031132,-118.26150700000001,8929.0
Unincorporated - Santa Monica Mountains, 34.031132,-118.26150700000001,8929.0
Sherman Oaks,34.1508718,-118.4489865,84910.0
Marina Peninsula,33.748712700000006,-118.1227115,4551.0
Regent Square,34.0615961,-118.44655209999999,2754.0
Valley Village,34.16371470000001,-118.3965758,23858.0
Rancho Palos Verdes,33.7483311,-118.3707683,42908.0
Ladera Heights,33.994179200000005,-118.37535430000001,6509.0
Lynwood,33.924831,-118.2024154,72189.0
Westfield/Academy Hills,34.077197,-118.23277900000001,45781.0
Canyon Country,34.42332929999999,-118.4720281,25745.0
Littlerock,34.5213675,-117.9873936,1388.0
La Puente,34.01979,-117.95036770000002,40378.0
Azusa,34.1338751,-117.90560459999999,65527.0
Westlake,34.0629226,-118.27282040000001,59497.0
Lawndale,33.8885217,-118.3531991,42232.0
Bell,33.9747806,-118.1866361,36596.0
Baldwin Hills,34.010988700000006,-118.3370709,29331.0
Gramercy Place,33.8677941,-118.31354640000002,10509.0
Pomona,34.05538129999999,-117.75174960000001,157108.0
Rowland Heights,33.976123799999996,-117.9053395,50863.0
Santa Catalina Island,33.3889037,-118.4239288,4034.0
Compton,33.894927,-118.226624,118259.0
East La Mirada,33.924457700000005,-117.9889525,9442.0
Franklin Canyon,34.1106939,-118.4172199,51891.0
Cerritos,33.8644291,-118.05393229999999,66654.0
Temple,34.0536909,-118.2427666,
Hacienda Heights,33.993067700000005,-117.96867549999999,54634.0
Los Feliz,34.1100408,-118.2889236,20597.0
Pico Rivera,33.9830688,-118.09673500000001,64052.0
Baldwin Park,34.0854739,-117.96117609999999,75833.0
Reynier Village,34.035522799999995,-118.38647079999998,4113.0
East Covina,34.1024,-117.85486499999999,283.0
Sun Village,34.006541,-118.15756499999999,9375.0
Lincoln Heights,34.081248200000005,-118.2034419,31865.0
Rosewood/East Gardena,34.110468,-118.25295600000001,43095.0
West Carson,33.8216836,-118.29257220000001,21010.0
Rancho Park,34.034446100000004,-118.4252632,6630.0
Rosewood/West Rancho Dominguez,34.005207,-118.447741,43095.0
San Jose Hills,34.1439158,-118.76114380000001,20257.0
Santa Fe Springs,33.9480787,-118.06914990000001,17834.0
Northeast San Gabriel,34.0991325,-118.1086041,174449.0
Beverly Crest,34.1167701,-118.43226070000001,12223.0
Vermont Knolls,33.9668188,-118.29167,17183.0
Pacific Palisades,34.0480643,-118.5264706,20718.0
View Heights,34.033882,-118.34771299999998,3286.0
Westchester,33.9597349,-118.40063219999999,50578.0
City,34.0536909,-118.2427666,
Inglewood,33.9562003,-118.353132,116359.0
Avalon,33.342209999999994,-118.3272612,4034.0
Anaverde,34.569331299999995,-118.16307090000001,28809.0
Pasadena,34.14764520000001,-118.14447790000001,174449.0
Bellflower,33.8825705,-118.1167679,76060.0
Leona Valley,34.618321,-118.288133,1374.0
Palos Verdes Peninsula,34.071852,-118.470828,45781.0
Silverlake,34.092940999999996,-118.2697155,42407.0
Silver Lake,34.092940999999996,-118.2697155,42407.0
Los Angeles - Silverlake, 34.092940999999996,-118.2697155,42407.0
Lomita,33.8036545,-118.3195014,45781.0
Green Meadows,33.9409877,-118.26299679999998,20900.0
East Rancho Dominguez,33.898071200000004,-118.195348,118259.0
Rancho Dominguez,33.859592,-118.21064720000001,2526.0
Desert View Highlands,34.5899777,-118.153456,2287.0
Vermont Square,34.0019449,-118.3002125,7248.0
Santa Clarita,34.3916641,-118.54258600000001,219356.0
Willowbrook,33.918786299999994,-118.2343933,43095.0
West Vernon,34.007135,-118.22525,52004.0
Roosevelt,33.8647381,-118.3036841,25960.0
Northridge,34.2345615,-118.53693159999999,69161.0
Chatsworth,34.2595715,-118.6023247,35461.0
San Francisquito Canyon/Bouquet Canyon,34.048065,-118.263322,25575.0
Harvard Park,33.9839471,-118.30462279999999,37165.0
Del Rey,33.9896527,-118.4243437,29720.0
West Covina,34.0686208,-117.93895259999998,107688.0
Saugus,34.4493489,-118.5168257,25745.0
Bradbury,34.1469511,-117.97089820000001,1268.0
Little Bangladesh,34.056179,-118.27190800000001,28270.0
South Antelope Valley,33.993047999999995,-118.12985800000001,5271.0
Huntington Park,33.982704299999995,-118.21203429999998,59508.0
Carson,33.832204299999994,-118.2517547,118244.0
Arcadia,34.136207500000005,-118.0401497,56993.0
Little Armenia,34.0981716,-118.30449660000001,7471.0
Jefferson Park,34.0272344,-118.31757560000001,7706.0
Wilshire Center,34.0615146,-118.4327712,50167.0
Reseda,34.200078399999995,-118.53698840000001,74009.0
Tujunga,34.252225,-118.2884105,27634.0
El Segundo,33.917028,-118.4156337,26864.0
Winnetka,34.2058826,-118.57093400000001,48669.0
Maywood,33.9866807,-118.185349,41472.0
Harvard Heights,34.047110499999995,-118.3054828,16917.0
Sunrise Village,34.673041600000005,-118.13173929999999,99118.0
Miracle Mile,34.008544,-118.13341499999999,17167.0
Palisades Highlands,34.040067,-118.34594799999999,3944.0
La Verne,34.10084260000001,-117.7678355,35146.0
Walnut,34.020289399999996,-117.86533859999999,30067.0
Redondo Beach,33.8455911,-118.38867659999998,69316.0
Hi Vista,34.734986,-117.777285,25960.0
Atwater Village,34.1163979,-118.25646370000001,14583.0
Signal Hill,33.804826,-118.168259,9273.0
Agoura Hills,34.147909999999996,-118.76570420000002,29523.0
San Fernando,34.28497,-118.437652,48440.0
Park La Brea,34.067401600000004,-118.35523629999999,12452.0
Studio City,34.148398900000004,-118.39618770000001,21708.0
Venice,33.995044,-118.4668875,34497.0
Downtown,34.0428494,-118.24767320000001,40024.0
West Hills,34.2032325,-118.645476,39106.0
West Whittier/Los Nietos,34.036211,-118.219955,25880.0
West Whittier-Los Nietos,34.036211,-118.219955,25880.0
Unincorporated - West Whittier/Los Nietos,34.036211,-118.219955,25880.0
Pacoima,34.262502500000004,-118.427027,76304.0
Toluca Terrace,34.1521688,-118.35714170000001,1415.0
Country Club Park,34.050289,-118.3211871,14579.0
Lake Los Angeles,34.6127395,-117.84039550000001,25960.0
Whittier,33.9708782,-118.0308396,99118.0
San Clemente Island,32.9182018,-118.50986509999998,4034.0
Covina (Charter Oak),34.099422499999996,-117.86428459999999,9046.0
North Lancaster,34.6981064,-118.13661529999999,25960.0
Sylmar,34.307625200000004,-118.44921480000001,82900.0
Hollywood Hills,34.1311792,-118.33554740000001,28793.0
West Antelope Valley,33.993047999999995,-118.12985800000001,3343.0
Florence-Firestone,33.9674263,-118.2433068,60154.0
Shadow Hills,34.2619469,-118.3517463,4665.0
Athens Village,33.920407,-118.27904939999999,43065.0
Sunland,34.266946600000004,-118.3023,20127.0
Exposition Park,34.013653999999995,-118.2872106,43805.0
Valinda,34.0384785,-117.933559,43986.0
Hyde Park,33.9805691,-118.3306308,28470.0
Twin Lakes/Oat Mountain,34.2780578,-118.60147690000001,25479.0
Temple City,34.1082994,-118.05775679999999,36499.0
Wellington Square,34.043033,-118.331976,4790.0
North Whittier,33.9708782,-118.0308396,4351.0
South San Gabriel,34.06251029999999,-118.09034650000001,8100.0
Wilmington,33.7800164,-118.2625095,53845.0
Encino,34.1591324,-118.50161659999999,43892.0
Brookside,34.0536909,-118.2427666,634.0
Wholesale District,34.0365749,-118.2354342,41902.0
Sun Valley,34.2175042,-118.37035759999999,52864.0
Downey,33.942215000000004,-118.1235646,113811.0
Agua Dulce,34.4963817,-118.3256348,3130.0
Brentwood,34.0521403,-118.4740699,29933.0
Stevenson Ranch,34.3864721,-118.5826635,25479.0
Rosewood,34.080287299999995,-118.36091090000002,118259.0
East Hollywood,34.0904277,-118.2966254,28102.0
Marina del Rey,33.9776848,-118.44864790000001,8302.0
Commerce,34.002581,-118.156586,12583.0
Toluca Lake,34.1521688,-118.35714170000001,8460.0
