Region,Latitude,Longitude,Population
Del Rey,33.9896527,-118.4243437,29258.0
Wilmington,33.780018,-118.26257109999999,57279.0
Beverly Hills,34.0696501,-118.3963062,34652.0
Valley Glen,34.182637899999996,-118.41386659999999,53274.0
Downtown,34.0428494,-118.24767320000001,27488.0
Temple-Beaudry,34.062884600000004,-118.25125290000001,53142.0
Los Feliz,34.1100408,-118.2889236,53290.0
Brentwood,34.0521403,-118.4740699,51891.0
Azusa,34.1338751,-117.90560459999999,65527.0
Bassett,34.049732299999995,-117.99673229999999,39491.0
San Dimas,34.1066756,-117.8067257,34330.0
Pico Rivera,33.9830688,-118.09673500000001,64052.0
Lancaster,34.6981064,-118.13661529999999,169552.0
La Canada Flintridge,34.1998302,-118.2005236,40253.0
Athens-Westmont,33.918397,-118.3269574,41642.0
Mar Vista,34.0037605,-118.43916409999999,41891.0
Eagle Rock,34.1388968,-118.21396240000001,39175.0
Granada Hills,34.26615579999999,-118.5174342,57975.0
Westlake,34.0629226,-118.27282040000001,58683.0
Van Nuys,34.1866581,-118.448729,92856.0
Castaic,34.488882200000006,-118.6228656,28325.0
Pico-Union,34.0410725,-118.2844479,42603.0
Lynwood,33.924831,-118.2024154,72189.0
Bellflower,33.8825705,-118.1167679,76060.0
Altadena,34.1863161,-118.13523290000002,53439.0
South Park,34.040406899999994,-118.26653770000001,39093.0
Hollywood Hills,34.1311792,-118.33554740000001,28875.0
Calabasas,34.144664299999995,-118.6440973,26051.0
San Gabriel,34.0991325,-118.1086041,40311.0
Alhambra,34.093042,-118.12706000000001,86706.0
Baldwin Hills,34.010988700000006,-118.3370709,29994.0
Vernon Central,34.007135,-118.22525,54121.0
Arleta,34.2413266,-118.4322047,35111.0
North Hills,34.2429575,-118.4854081,60919.0
Hawthorne,33.9188589,-118.34832560000001,114032.0
Harvard Park,34.006081,-118.30673700000001,39646.0
West Adams,34.0294356,-118.35248329999999,28121.0
West Hills,34.2032325,-118.645476,41543.0
Playa Vista,33.9759574,-118.41818149999999,27092.0
Encino,34.1591324,-118.50161659999999,42533.0
Baldwin Park,34.0854739,-117.96117609999999,75833.0
Willowbrook,33.918786299999994,-118.2343933,43095.0
Rancho Palos Verdes,33.7483311,-118.3707683,42908.0
Palisades,34.0480643,-118.5264706,27767.0
